# Gene set generated on 2021-12-24T11:47:22 using cellxgene version 2.0.5
# Input data file was /Users/alexander.tarashansky/excellxgene/example-dataset/pbmc3k.h5ad, which was last modified on 2021-12-24T11:18:08
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ARPC1B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",DUSP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CFL1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPL10A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ZFP36,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPL22,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CD74,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CST3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5G2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GABARAP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DRA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",S100A6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPL4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DPA1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ACTB,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EEF2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5E,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPLP0,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DRB1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPL18,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DPB1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EIF4A1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ACTG1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ARPC2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AP1S2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CHCHD2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DMA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DQA1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CAPG,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DRB5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX5B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COTL1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CTSH,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GRN,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DQA2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TAGLN2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CLIC1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NPM1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RNASET2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ALDOA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DQB1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SRGN,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RNH1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX7C,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CYBA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ANXA2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",S100A4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CD33,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EIF3L,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FKBP1A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PRELID1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RNF130,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CLEC10A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ARF5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RAC1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TPI1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",S100A10,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",S100A11,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TRAPPC1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LY86,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EIF3F,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LGALS2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CALM2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5J2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FTH1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",H2AFY,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FXYD5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ARPC3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FCGRT,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CSTB,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SAMHD1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DMB,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",BST2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CD1C,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MT-CO2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",KLF4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SPINT2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ZFAS1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AMICA1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RAB7A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AP2S1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RNASE6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GPX1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FOSB,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX6B1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GSTP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ANXA5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX6A1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",VAMP8,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COPE,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",IGSF6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HMGN3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ENO1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LGALS9,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SLC25A6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ARF3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LAPTM5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LAP3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",H3F3A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AURKAIP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CPVL,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CD1D,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TUBA1B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",BRK1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",UQCR10,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FCER1A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MCL1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FCER1G,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5L,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",C1QBP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5G3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",YBX1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TMA7,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DQB2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RGS2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EIF3H,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PSME2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SPI1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GMFG,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TSPO,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",C11orf31,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TYROBP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",APEX1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CYCS,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX8A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",BTF3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PYCARD,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PKM,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RHOA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",DRAP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MSN,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SERP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GSN,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GPX4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NDUFA13,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SYK,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PSME1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NEAT1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ID2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RGS10,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",UQCRFS1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SRP14,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FIBP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ENHO,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PGLS,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",BID,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",IGFLR1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HMGN1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CEBPD,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HIGD2A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HNRNPC,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX7A2L,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LAMTOR4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LCP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LDHA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TUBA1A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RHOG,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HNRNPA2B1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ARPC5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GNAS,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LST1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PPA1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",IFITM2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",UBL7,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CACNA2D3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ITGB2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HCLS1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EIF6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SLC25A5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",VASP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NAGK,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CNPY3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",UFC1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HNRNPK,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",OST4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SULF2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SERPINB6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",YIF1B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TPM4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PSMB1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",APH1A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",BASP1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",POMP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NDUFV3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SNRPD2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SEMA4A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PSMB10,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CYC1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",IL1B,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPS6KA4,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NR4A2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",U2AF1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AKIRIN2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5A1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EID1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TGFBI,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MT-ATP6,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CLTA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP6V1F,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",OXA1L,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LY6E,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AOAH,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MS4A6A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",SRSF5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",LAMTOR1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX7A2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ZNF385A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AIF1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",IER2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EPSTI1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EDF1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MNDA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",IFI30,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PAK1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",C19orf43,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",UCP2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CAPN2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ACAA1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",UBL5,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TRMT112,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ZNHIT1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",RPL41,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PSMD8,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CCDC88A,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TYMP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NDUFAB1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",COX6C,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",MRPL23,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NDUFA1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PSMB7,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",NDRG2,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",TMEM230,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",EIF3K,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATG3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",AKR1A1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FAM26F,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PSMB3,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",ATP5D,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",PARK7,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HLA-DOA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HNRNPA0,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",UQCRH,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CNBP,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",FDFT1,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",HEXA,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",CD63,
"Pop1 high : (12/24/2021, 11:47:21 AM)","12/24/2021, 11:47:21 AM",GNB2,
